annotation_id,company_name,year,metric_key,normalized_value,normalized_unit,source_file,pdf_page,organizational_boundary,reporting_basis,reviewer_id,review_date,decision,corrected_value,corrected_page,boundary_agreement,review_notes
比亚迪-2022-scope_1_emissions,比亚迪,2022,scope_1_emissions,550932.0,tCO2e,比亚迪2024年ESG报告.pdf,127,group operational control,latest_report_time_series,,,,,,,
比亚迪-2022-scope_2_emissions,比亚迪,2022,scope_2_emissions,7511038.0,tCO2e,比亚迪2024年ESG报告.pdf,127,group operational control,latest_report_time_series,,,,,,,
比亚迪-2023-scope_1_emissions,比亚迪,2023,scope_1_emissions,931916.0,tCO2e,比亚迪2024年ESG报告.pdf,127,group operational control,latest_report_time_series,,,,,,,
比亚迪-2023-scope_2_emissions,比亚迪,2023,scope_2_emissions,11409539.0,tCO2e,比亚迪2024年ESG报告.pdf,127,group operational control,latest_report_time_series,,,,,,,
比亚迪-2024-scope_1_emissions,比亚迪,2024,scope_1_emissions,1539251.46,tCO2e,比亚迪2024年ESG报告.pdf,127,group operational control,latest_report_time_series,,,,,,,
比亚迪-2024-scope_2_emissions,比亚迪,2024,scope_2_emissions,8562574.74,tCO2e,比亚迪2024年ESG报告.pdf,127,group operational control,latest_report_time_series,,,,,,,
长城汽车-2022-scope_1_emissions,长城汽车,2022,scope_1_emissions,140976.54,tCO2e,长城汽车2023年ESG报告.pdf,95,group operational control,reported_time_series,,,,,,,
长城汽车-2022-scope_2_emissions,长城汽车,2022,scope_2_emissions,917443.51,tCO2e,长城汽车2023年ESG报告.pdf,95,group operational control,reported_time_series,,,,,,,
长城汽车-2023-scope_1_emissions,长城汽车,2023,scope_1_emissions,153244.61,tCO2e,长城汽车2023年ESG报告.pdf,95,group operational control,reported_time_series,,,,,,,
长城汽车-2023-scope_2_emissions,长城汽车,2023,scope_2_emissions,1017628.02,tCO2e,长城汽车2023年ESG报告.pdf,95,group operational control,reported_time_series,,,,,,,
长城汽车-2024-scope_1_emissions,长城汽车,2024,scope_1_emissions,152033.5,tCO2e,长城汽车2024年ESG报告.pdf,97,group operational control,reported_time_series,,,,,,,
长城汽车-2024-scope_2_emissions,长城汽车,2024,scope_2_emissions,997331.85,tCO2e,长城汽车2024年ESG报告.pdf,97,group operational control,reported_time_series,,,,,,,
广汽集团-2022-scope_1_emissions,广汽集团,2022,scope_1_emissions,200668.2,tCO2e,广汽集团2024年ESG报告.pdf,131,group operational control,latest_report_time_series,,,,,,,
广汽集团-2022-scope_2_emissions,广汽集团,2022,scope_2_emissions,1128740.8,tCO2e,广汽集团2024年ESG报告.pdf,131,group operational control,latest_report_time_series,,,,,,,
广汽集团-2023-scope_1_emissions,广汽集团,2023,scope_1_emissions,143473.58,tCO2e,广汽集团2024年ESG报告.pdf,131,group operational control,latest_report_time_series,,,,,,,
广汽集团-2023-scope_2_emissions,广汽集团,2023,scope_2_emissions,917430.58,tCO2e,广汽集团2024年ESG报告.pdf,131,group operational control,latest_report_time_series,,,,,,,
广汽集团-2024-scope_1_emissions,广汽集团,2024,scope_1_emissions,159201.1,tCO2e,广汽集团2024年ESG报告.pdf,131,group operational control,latest_report_time_series,,,,,,,
广汽集团-2024-scope_2_emissions,广汽集团,2024,scope_2_emissions,1059734.9,tCO2e,广汽集团2024年ESG报告.pdf,131,group operational control,latest_report_time_series,,,,,,,
赛力斯-2022-scope_1_emissions,赛力斯,2022,scope_1_emissions,56333.39,tCO2e,赛力斯2023年ESG报告.pdf,56,group operational control,restated_in_2023_report,,,,,,,
赛力斯-2022-scope_2_emissions,赛力斯,2022,scope_2_emissions,139403.87,tCO2e,赛力斯2023年ESG报告.pdf,56,group operational control,restated_in_2023_report,,,,,,,
赛力斯-2023-scope_1_emissions,赛力斯,2023,scope_1_emissions,47756.19,tCO2e,赛力斯2023年ESG报告.pdf,56,group operational control,reported_time_series,,,,,,,
赛力斯-2023-scope_2_emissions,赛力斯,2023,scope_2_emissions,103776.09,tCO2e,赛力斯2023年ESG报告.pdf,56,group operational control,reported_time_series,,,,,,,
赛力斯-2024-scope_1_emissions,赛力斯,2024,scope_1_emissions,88690.29,tCO2e,赛力斯2024年ESG报告.pdf,60,group operational control,reported,,,,,,,
赛力斯-2024-scope_2_emissions,赛力斯,2024,scope_2_emissions,183534.44,tCO2e,赛力斯2024年ESG报告.pdf,60,group operational control,reported,,,,,,,
长安汽车-2022-scope_1_emissions,长安汽车,2022,scope_1_emissions,185230,tCO2e,长安汽车2024年ESG报告.pdf,27,Changan autonomous operations only,latest_report_time_series,,,,,,,
长安汽车-2022-scope_2_emissions,长安汽车,2022,scope_2_emissions,652715,tCO2e,长安汽车2024年ESG报告.pdf,27,Changan autonomous operations only,latest_report_time_series,,,,,,,
长安汽车-2023-scope_1_emissions,长安汽车,2023,scope_1_emissions,201437,tCO2e,长安汽车2024年ESG报告.pdf,27,Changan autonomous operations only,latest_report_time_series,,,,,,,
长安汽车-2023-scope_2_emissions,长安汽车,2023,scope_2_emissions,722453,tCO2e,长安汽车2024年ESG报告.pdf,27,Changan autonomous operations only,latest_report_time_series,,,,,,,
长安汽车-2024-scope_1_emissions,长安汽车,2024,scope_1_emissions,151868,tCO2e,长安汽车2024年ESG报告.pdf,27,Changan autonomous operations only,latest_report_time_series,,,,,,,
长安汽车-2024-scope_2_emissions,长安汽车,2024,scope_2_emissions,742676,tCO2e,长安汽车2024年ESG报告.pdf,27,Changan autonomous operations only,latest_report_time_series,,,,,,,
宁德时代-2022-scope_1_emissions,宁德时代,2022,scope_1_emissions,610885.46,tCO2e,宁德时代2024年ESG报告.pdf,121,battery production bases,restated_in_2024_report,,,,,,,
宁德时代-2022-scope_2_emissions,宁德时代,2022,scope_2_emissions,2631947.26,tCO2e,宁德时代2024年ESG报告.pdf,121,battery production bases,restated_in_2024_report,,,,,,,
宁德时代-2023-scope_1_emissions,宁德时代,2023,scope_1_emissions,765338.97,tCO2e,宁德时代2024年ESG报告.pdf,121,battery production bases,restated_in_2024_report,,,,,,,
宁德时代-2023-scope_2_emissions,宁德时代,2023,scope_2_emissions,1477835.08,tCO2e,宁德时代2024年ESG报告.pdf,121,battery production bases,restated_in_2024_report,,,,,,,
宁德时代-2024-scope_1_emissions,宁德时代,2024,scope_1_emissions,930440.28,tCO2e,宁德时代2024年ESG报告.pdf,121,battery production bases,reported,,,,,,,
宁德时代-2024-scope_2_emissions,宁德时代,2024,scope_2_emissions,1423359.12,tCO2e,宁德时代2024年ESG报告.pdf,121,battery production bases,reported,,,,,,,
亿纬锂能-2023-scope_1_emissions,亿纬锂能,2023,scope_1_emissions,102432,tCO2e,亿纬锂能2024年ESG报告.pdf,62,mature operating battery-manufacturing entities,latest_report_time_series,,,,,,,
亿纬锂能-2023-scope_2_emissions,亿纬锂能,2023,scope_2_emissions,1363741,tCO2e,亿纬锂能2024年ESG报告.pdf,62,mature operating battery-manufacturing entities,latest_report_time_series,,,,,,,
亿纬锂能-2024-scope_1_emissions,亿纬锂能,2024,scope_1_emissions,102465,tCO2e,亿纬锂能2024年ESG报告.pdf,62,mature operating battery-manufacturing entities,latest_report_time_series,,,,,,,
亿纬锂能-2024-scope_2_emissions,亿纬锂能,2024,scope_2_emissions,1482696,tCO2e,亿纬锂能2024年ESG报告.pdf,62,mature operating battery-manufacturing entities,latest_report_time_series,,,,,,,
上汽集团-2023-scope_1_emissions,上汽集团,2023,scope_1_emissions,483000,tCO2e,上汽集团2023年ESG报告.pdf,43,group operational control,reported,,,,,,,
上汽集团-2023-scope_2_emissions,上汽集团,2023,scope_2_emissions,1547000,tCO2e,上汽集团2023年ESG报告.pdf,43,group operational control,reported,,,,,,,
上汽集团-2024-scope_1_emissions,上汽集团,2024,scope_1_emissions,610000,tCO2e,上汽集团2024年ESG报告.pdf,51,group operational control,reported,,,,,,,
上汽集团-2024-scope_2_emissions,上汽集团,2024,scope_2_emissions,1350000,tCO2e,上汽集团2024年ESG报告.pdf,51,group operational control,reported,,,,,,,
